txpyr_id,txpyr_name,type,segment,registration_date,location,location_code
8252221406, Vortexis,Sole Proprietorship,Technology and Innovation,21/03/2011,Φθιώτιδα,N0840
5462237500, NexaWave,Sole Proprietorship,Technology and Innovation,23/09/1995,Αθήνα,N0910
9290157658, LumeCore,Sole Proprietorship,Agriculture and Food Production,13/04/2006,Μαγνησία,N0530
5953020128, ZenWave,General Partnership,Consumer Goods and Retail,04/01/1999,Ευρυτανία,N0830
1868538215, FluxGen,Limited Liability Company (LLC),Healthcare,01/11/1991,Πρέβεζα,N0440
7049065477, TriLuxe,Sole Proprietorship,Tourism and Hospitality,01/12/1992,Θεσπρωτία,N0420
5221555206, AeroZen,Sole Proprietorship,Manufacturing,09/01/2004,Κόρινθος,N1030
7466304794, VibeTech,Sole Proprietorship,Technology and Innovation,11/02/1993,Άρτα,N0410
7379755317, PureLux,Sole Proprietorship,Healthcare,09/06/2007,Κιλκίς,N0230
9572942552, VeloSync,Limited Partnership (LP),Tourism and Hospitality,15/05/1992,Λάρισα,N0520
4664007734, Nexara,Sole Proprietorship,Consumer Goods and Retail,28/02/2007,Αργολίδα,N1010
8795208037, OptiLux,Private Limited Company (Ltd),Financial Services,12/03/2003,Ρέθυμνο,N1330
1934321731, LumeWave,Sole Proprietorship,Technology and Innovation,25/02/2005,Κυκλάδες,N1210
7972675760, NovaZen,Limited Liability Company (LLC),Healthcare,17/04/1990,Φλώρινα,N0340
6933928851, FluxSync,Private Limited Company (Ltd),Financial Services,16/03/2015,Ζάκυνθος,N0610
4905191198, HexaGen,Private Limited Company (Ltd),Energy,22/05/1991,Καρδίτσα,N0510
5279710168, VividLux,Limited Liability Company (LLC),Automotive,20/06/2006,Κιλκίς,N0230
6854029210, GlobaZen,Sole Proprietorship,Agriculture and Food Production,07/12/2010,Αργολίδα,N1010
8657164971, MaxeonZ,Sole Proprietorship,Consumer Goods and Retail,15/02/2007,Ηράκλειο,N1310
6967842758, OmniWave,General Partnership,Healthcare,04/12/2013,Ζάκυνθος,N0610
5963233333, SkySync,Private Limited Company (Ltd),Tourism and Hospitality,12/12/2003,Λάρισα,N0520
3843825644, RadiantX,Sole Proprietorship,Agriculture and Food Production,14/04/1996,Ζάκυνθος,N0610
5932607126, HyperGen,Private Limited Company (Ltd),Agriculture and Food Production,21/08/2004,Λακωνία,N1040
1906096174, QuantaZ,Sole Proprietorship,Agriculture and Food Production,11/02/2007,Αθήνα,N0910
1204905808, ZenNex,Sole Proprietorship,Consumer Goods and Retail,01/06/1990,Χαλκιδική,N0270
8131440788, AeroLink,Sole Proprietorship,Logistics and Transportation,06/07/2009,Έβρος,N0120
9244014030, VortexX,Private Limited Company (Ltd),Automotive,09/03/1997,Χανιά,N1340
2234610356, NexiTech,Private Limited Company (Ltd),Logistics and Transportation,10/10/1993,Πιερία,N0250
2681438250, LumeSync,Limited Partnership (LP),Healthcare,18/01/1990,Κέρκυρα,N0620
2877601485, OptimaX,Sole Proprietorship,Logistics and Transportation,25/03/2010,Λέσβος,N1110
4456917425, VeloWave,Sole Proprietorship,Healthcare,05/08/2009,Λασίθιο,N1320
9405142220, QuantumX,Sole Proprietorship,Agriculture and Food Production,01/06/2007,Τρίκαλα,N0540
6779571159, TriNex,Sole Proprietorship,Tourism and Hospitality,18/06/2005,Λασίθιο,N1320
1050420442, FluxWave,Limited Liability Company (LLC),Tourism and Hospitality,15/10/1990,Πειραιάς και νήσοι,N0920
2210930032, PureSync,Private Limited Company (Ltd),Tourism and Hospitality,09/03/1992,Λακωνία,N1040
4607597465, MetaGen,Sole Proprietorship,Agriculture and Food Production,10/08/1998,Εύβοια,N0820
9113914333, UltraLux,Sole Proprietorship,Agriculture and Food Production,08/12/2009,Ιωάννινα,N0430
7919176680, VividZen,Private Limited Company (Ltd),Technology and Innovation,17/11/1998,Αχαΐα,N0720
1718959097, SkyLux,Sole Proprietorship,Agriculture and Food Production,24/08/2010,Καβάλα,N0130
2620711188, RadiantQ,Sole Proprietorship,Tourism and Hospitality,10/06/2015,Δυτική Αττική,N0940
6359949725, HyperX,Private Limited Company (Ltd),Financial Services,03/12/1994,Ηράκλειο,N1310
3303435297, QuantaGen,Private Limited Company (Ltd),Tourism and Hospitality,16/08/2007,Φθιώτιδα,N0840
3977476222, ZenSync,Sole Proprietorship,Agriculture and Food Production,08/05/2014,Καβάλα,N0130
4570075413, AeroWave,Limited Liability Company (LLC),Financial Services,12/06/1997,Φλώρινα,N0340
9655374422, VortexLux,Sole Proprietorship,Automotive,10/08/1992,Πέλλα,N0240
6294987222, NexaLite,Sole Proprietorship,Manufacturing,09/02/2003,Αργολίδα,N1010
8089463638, OptiSync,Sole Proprietorship,Healthcare,03/03/2011,Λακωνία,N1040
7644290102, LumeLux,Sole Proprietorship,Logistics and Transportation,22/06/2013,Θεσπρωτία,N0420
6251831440, NovaSync,Limited Liability Company (LLC),Manufacturing,06/01/1995,Καρδίτσα,N0510
6623645580, FluxTech,Sole Proprietorship,Energy,03/12/1997,Ξάνθη,N0140
4844937858, HexaWave,Sole Proprietorship,Tourism and Hospitality,08/02/2012,Δυτική Αττική,N0940
9657837798, VividGen,Private Limited Company (Ltd),Automotive,18/12/2011,Καστοριά,N0320
7710929923, GlobaLite,Sole Proprietorship,Healthcare,28/02/1993,Άρτα,N0410
6328678980, MaxeonQ,Sole Proprietorship,Consumer Goods and Retail,19/09/1996,Δωδεκάνησα,N1220
3238974983, OmniLux,Sole Proprietorship,Financial Services,05/10/2006,Φθιώτιδα,N0840
1335706514, SkyWave,Sole Proprietorship,Logistics and Transportation,27/08/2014,Ηλεία,N0730
4411508876, RadiantY,Sole Proprietorship,Energy,16/09/2013,Καστοριά,N0320
1601512671, HyperWave,Sole Proprietorship,Consumer Goods and Retail,09/09/1997,Αργολίδα,N1010
2910762580, QuantaSync,General Partnership,Agriculture and Food Production,02/02/2007,Ηράκλειο,N1310
8856430261, ZenLux,Private Limited Company (Ltd),Tourism and Hospitality,06/10/1997,Λάρισα,N0520
3246160651, AeroTech,Sole Proprietorship,Agriculture and Food Production,29/06/2010,Αργολίδα,N1010
7712104086, VortexSync,Sole Proprietorship,Agriculture and Food Production,30/06/2012,Πέλλα,N0240
6454754780, NexiGen,Limited Liability Company (LLC),Financial Services,13/11/2011,Χίος,N1130
2081094397, LumeZen,Private Limited Company (Ltd),Manufacturing,09/10/2015,Φωκίδα,N0850
3773598330, OptiTech,Sole Proprietorship,Agriculture and Food Production,19/05/2014,Λασίθιο,N1320
9873342080, VeloLux,Sole Proprietorship,Agriculture and Food Production,27/08/1990,Ημαθία,N0210
7946248025, QuantumSync,Sole Proprietorship,Energy,11/07/2015,Φωκίδα,N0850
7385597500, TriLux,Sole Proprietorship,Healthcare,03/12/1994,Άρτα,N0410
4785277087, FluxLux,Sole Proprietorship,Tourism and Hospitality,19/08/2005,Ημαθία,N0210
7532422570, PureZenX,Private Limited Company (Ltd),Logistics and Transportation,12/02/2007,Ευρυτανία,N0830
4720829970, MetaSync,Private Limited Company (Ltd),Energy,14/10/2013,Βοιωτία,N0810
5830762320, UltraGen,Limited Liability Company (LLC),Logistics and Transportation,25/05/2007,Αργολίδα,N1010
7492143622, VividWave,Private Limited Company (Ltd),Financial Services,20/08/2007,Θεσπρωτία,N0420
7957783282, OmniSync,Sole Proprietorship,Tourism and Hospitality,18/03/2011,Έβρος,N0120
5319481439, SkyZen,Sole Proprietorship,Logistics and Transportation,16/02/2007,Λευκάδα,N0640
5442690470, RadiantV,Sole Proprietorship,Automotive,21/10/2011,Τρίκαλα,N0540
4817433481, HyperLux,General Partnership,Financial Services,29/10/1994,Μαγνησία,N0530
3922235136, QuantaWave,Sole Proprietorship,Logistics and Transportation,04/06/1992,Φλώρινα,N0340
5765720475, ZenWaveX,Public Limited Company (PLC),Logistics and Transportation,11/03/1992,Αχαΐα,N0720
4174455539, AeroLuxX,Limited Liability Company (LLC),Agriculture and Food Production,06/09/1991,Δωδεκάνησα,N1220
6959395583, VortexGen,Private Limited Company (Ltd),Logistics and Transportation,17/05/2011,Κιλκίς,N0230
3298087884, NexaraX,Sole Proprietorship,Consumer Goods and Retail,05/12/1990,Ροδόπη,N0150
2728659774, OptiZen,Private Limited Company (Ltd),Consumer Goods and Retail,12/01/1994,Τρίκαλα,N0540
1810634394, LumeTech,Public Limited Company (PLC),Automotive,25/09/2009,Κοζάνη,N0330
2612579710, NovaLux,Private Limited Company (Ltd),Logistics and Transportation,20/11/2010,Καρδίτσα,N0510
3752969322, FluxZen,Limited Liability Company (LLC),Technology and Innovation,13/11/2009,Μεσσηνία,N1050
1351821511, HexaSync,Sole Proprietorship,Logistics and Transportation,03/04/1997,Πιερία,N0250
7670415549, VividSync,Private Limited Company (Ltd),Technology and Innovation,15/12/2009,Κεφαλλονία,N0630
4424613580, GlobaTech,Limited Partnership (LP),Financial Services,10/06/2010,Άρτα,N0410
7621927979, MaxeonY,Sole Proprietorship,Technology and Innovation,12/03/2010,Λακωνία,N1040
9527466656, OmniTech,Sole Proprietorship,Manufacturing,14/10/2004,Ροδόπη,N0150
5149171142, SkyTech,Sole Proprietorship,Agriculture and Food Production,20/09/1996,Φλώρινα,N0340
3106509415, RadiantW,Sole Proprietorship,Manufacturing,13/06/2004,Γρεβενά,N0310
5511368701, HyperSync,Sole Proprietorship,Manufacturing,14/07/2008,Λασίθιο,N1320
7652587106, QuantaLux,General Partnership,Healthcare,25/11/2000,Κυκλάδες,N1210
1857577737, ZenLuxX,Limited Liability Company (LLC),Financial Services,12/07/2005,Κεφαλλονία,N0630
1780855274, AeroSync,Private Limited Company (Ltd),Financial Services,28/01/1991,Καβάλα,N0130
2753544847, VortexTech,Limited Liability Company (LLC),Technology and Innovation,17/06/2002,Θεσπρωτία,N0420
5261962196, NexiWave,Private Limited Company (Ltd),Energy,04/02/1991,Μαγνησία,N0530
4800218220, LumeLite,Sole Proprietorship,Logistics and Transportation,19/07/2007,Αθήνα,N0910
6111683034, OptiWaveX,General Partnership,Automotive,31/08/2000,Φωκίδα,N0850
8293664779, VeloTech,Sole Proprietorship,Manufacturing,10/08/1994,Βοιωτία,N0810
9179873185, QuantumLux,Sole Proprietorship,Consumer Goods and Retail,06/01/1996,Ευρυτανία,N0830
5143029403, TriWave,Private Limited Company (Ltd),Manufacturing,29/11/1990,Ανατολική Αττική,N0930
9477371228, FluxSyncX,Limited Liability Company (LLC),Agriculture and Food Production,24/11/1990,Φωκίδα,N0850
4233608040, PureWaveX,Sole Proprietorship,Agriculture and Food Production,20/08/2009,Αιτωλοακαρνανία,N0710
5277194372, MetaLux,Sole Proprietorship,Healthcare,17/03/1990,Φθιώτιδα,N0840
3554167924, UltraSync,Sole Proprietorship,Healthcare,09/12/2001,Κοζάνη,N0330
6299131946, VividTech,Limited Liability Company (LLC),Logistics and Transportation,18/06/1993,Χανιά,N1340
4501359742, OmniWaveX,Sole Proprietorship,Logistics and Transportation,01/06/2001,Φωκίδα,N0850
5950950643, SkyWaveX,Sole Proprietorship,Technology and Innovation,07/09/1995,Μεσσηνία,N1050
8706984517, HyperLuxX,Private Limited Company (Ltd),Logistics and Transportation,04/12/2007,Ροδόπη,N0150
3224364660, QuantaTech,Sole Proprietorship,Automotive,21/02/2011,Λάρισα,N0520
7905520242, ZenLuxY,Private Limited Company (Ltd),Technology and Innovation,18/11/1990,Πειραιάς και νήσοι,N0920
1849121586, AeroWaveY,Sole Proprietorship,Tourism and Hospitality,11/11/2007,Λέσβος,N1110
2519848440, VortexLite,Private Limited Company (Ltd),Financial Services,20/12/2002,Βοιωτία,N0810
6454355185, NexaraZ,Sole Proprietorship,Tourism and Hospitality,20/07/2008,Έβρος,N0120
2005194278, OptiLite,Private Limited Company (Ltd),Technology and Innovation,14/11/1991,Χαλκιδική,N0270
2455605070, LumeWaveX,Sole Proprietorship,Logistics and Transportation,07/08/2001,Ευρυτανία,N0830
1479450289, NovaLite,Private Limited Company (Ltd),Automotive,25/05/1999,Πιερία,N0250
9007734026, FluxLuxX,Sole Proprietorship,Manufacturing,03/07/1990,Μαγνησία,N0530
9441028233, HexaTech,Sole Proprietorship,Consumer Goods and Retail,05/03/2002,Κεφαλλονία,N0630
3084966811, VividLite,Limited Partnership (LP),Tourism and Hospitality,26/11/2013,Κέρκυρα,N0620
5852696930, GlobaWave,Sole Proprietorship,Financial Services,29/08/2008,Αρκαδία,N1020
4231933624, OmniLite,Sole Proprietorship,Agriculture and Food Production,14/04/1992,Χίος,N1130
7883560264, SkyLite,Private Limited Company (Ltd),Tourism and Hospitality,23/01/2004,Λάρισα,N0520
6989845409, RadiantSync,Limited Partnership (LP),Consumer Goods and Retail,28/12/1995,Λάρισα,N0520
2543782976, HyperWaveY,Sole Proprietorship,Consumer Goods and Retail,22/08/1993,Ζάκυνθος,N0610
4358135995, QuantaWaveX,Sole Proprietorship,Tourism and Hospitality,09/09/2012,Αργολίδα,N1010
9171615373, ZenWaveY,Sole Proprietorship,Technology and Innovation,14/03/2008,Καστοριά,N0320
6827096990, AeroLite,Sole Proprietorship,Healthcare,11/03/2007,Θεσπρωτία,N0420
1157870461, VortexTechX,Sole Proprietorship,Agriculture and Food Production,04/04/2013,Αιτωλοακαρνανία,N0710
8100705273, NexiLite,Limited Liability Company (LLC),Logistics and Transportation,23/11/2012,Δωδεκάνησα,N1220
9776519040, LumeLiteX,Sole Proprietorship,Tourism and Hospitality,14/04/2000,Δυτική Αττική,N0940
6899402643, OptiLuxX,Private Limited Company (Ltd),Financial Services,09/09/2001,Σέρρες,N0260
3875088941, VeloWaveX,Sole Proprietorship,Consumer Goods and Retail,05/07/2001,Ροδόπη,N0150
5187299081, QuantumLite,Sole Proprietorship,Technology and Innovation,26/12/1992,Ρέθυμνο,N1330
2034502640, TriWaveX,General Partnership,Logistics and Transportation,24/07/1990,Θεσπρωτία,N0420
9847119581, FluxLite,Private Limited Company (Ltd),Energy,30/07/2002,Κοζάνη,N0330
7422224636, PureWaveY,General Partnership,Financial Services,21/05/1999,Πρέβεζα,N0440
9748888900, UltraLite,Sole Proprietorship,Agriculture and Food Production,06/08/1991,Τρίκαλα,N0540
9243408027, VividWaveX,Private Limited Company (Ltd),Technology and Innovation,18/11/2009,Σέρρες,N0260
3756876779, OmniLiteX,Sole Proprietorship,Healthcare,18/11/1990,Θεσσαλονίκη,N0220
5636439168, SkyWaveY,Sole Proprietorship,Energy,20/05/2010,Γρεβενά,N0310
5853700076, RadiantWave,Sole Proprietorship,Consumer Goods and Retail,18/11/1998,Λευκάδα,N0640
2085947606, HyperLite,Sole Proprietorship,Agriculture and Food Production,06/01/2003,Χίος,N1130
9096874034, QuantaLite,Private Limited Company (Ltd),Manufacturing,23/12/2014,Πιερία,N0250
7324289674, ZenLite,Private Limited Company (Ltd),Manufacturing,18/03/2001,Πειραιάς και νήσοι,N0920
5952044411, AeroWaveZ,Private Limited Company (Ltd),Consumer Goods and Retail,17/09/2015,Δυτική Αττική,N0940
2763475763, VortexWave,Private Limited Company (Ltd),Agriculture and Food Production,01/09/2006,Λακωνία,N1040
7919736938, NexaraLite,Sole Proprietorship,Financial Services,13/12/2012,Πιερία,N0250
4474298720, OptiWaveY,Sole Proprietorship,Financial Services,23/03/2008,Κιλκίς,N0230
2573813936, LumeLiteY,Sole Proprietorship,Tourism and Hospitality,02/03/2005,Πειραιάς και νήσοι,N0920
1421885630, NovaWaveX,Sole Proprietorship,Technology and Innovation,04/12/2012,Σέρρες,N0260
3023747400, FluxLiteX,Private Limited Company (Ltd),Healthcare,17/09/1992,Δωδεκάνησα,N1220
5871359100, HexaWaveX,Sole Proprietorship,Tourism and Hospitality,16/11/2014,Θεσσαλονίκη,N0220
4139898478, VividWaveY,Public Limited Company (PLC),Tourism and Hospitality,10/06/2011,Κεφαλλονία,N0630
9294563470, GlobaLiteX,Sole Proprietorship,Consumer Goods and Retail,26/01/1995,Δυτική Αττική,N0940
6885982819, MaxeonWave,General Partnership,Technology and Innovation,15/07/1990,Ευρυτανία,N0830
2088653079, OmniWaveY,General Partnership,Energy,28/01/2003,Θεσπρωτία,N0420
3122199309, SkyWaveZ,Sole Proprietorship,Consumer Goods and Retail,09/06/2012,Πιερία,N0250
9249940245, RadiantWaveX,Sole Proprietorship,Consumer Goods and Retail,19/10/1991,Θεσσαλονίκη,N0220
9683332399, HyperWaveZ,Private Limited Company (Ltd),Healthcare,07/10/1994,Ξάνθη,N0140
1173583648, QuantaWaveY,Limited Liability Company (LLC),Tourism and Hospitality,19/05/2012,Ηλεία,N0730
8084340580, ZenWaveZ,Sole Proprietorship,Agriculture and Food Production,07/09/2004,Ηλεία,N0730
5000723380, AeroWaveLite,Limited Liability Company (LLC),Technology and Innovation,05/03/1990,Κέρκυρα,N0620
5511422359, VortexWaveX,Private Limited Company (Ltd),Tourism and Hospitality,25/12/2015,Χαλκιδική,N0270
6915903205, NexiWaveX,Sole Proprietorship,Tourism and Hospitality,15/06/1992,Έβρος,N0120
7578248743, LumeWaveY,Sole Proprietorship,Automotive,22/02/1999,Φθιώτιδα,N0840
7782441080, OptiWaveZ,Private Limited Company (Ltd),Automotive,28/12/2011,Φωκίδα,N0850
6378858274, VeloWaveY,Sole Proprietorship,Logistics and Transportation,30/10/1995,Πιερία,N0250
4480413531, QuantumWave,Sole Proprietorship,Automotive,02/07/2006,Εύβοια,N0820
8720431447, TriWaveY,Sole Proprietorship,Automotive,17/11/1999,Χίος,N1130
8075735333, PureWaveLite,Sole Proprietorship,Agriculture and Food Production,14/06/1993,Ξάνθη,N0140
2021526210, MetaWaveX,Private Limited Company (Ltd),Energy,21/08/2004,Κεφαλλονία,N0630
3775172801, UltraWave,Sole Proprietorship,Automotive,16/05/2014,Ιωάννινα,N0430
8259504693, VividWaveZ,Sole Proprietorship,Financial Services,26/01/2005,Καβάλα,N0130
3883204330, OmniWaveZ,Sole Proprietorship,Agriculture and Food Production,13/09/2005,Ευρυτανία,N0830
3488159570, SkyWaveLite,Sole Proprietorship,Healthcare,04/10/2005,Πιερία,N0250
9203534660, RadiantWaveY,Sole Proprietorship,Healthcare,29/07/2015,Καστοριά,N0320
5586826580, HyperWaveLite,Sole Proprietorship,Automotive,04/06/1996,Κόρινθος,N1030
3772863200, QuantaWaveZ,Sole Proprietorship,Manufacturing,11/07/2000,Πρέβεζα,N0440
6137599875, ZenWaveLite,Limited Liability Company (LLC),Manufacturing,02/04/1992,Ροδόπη,N0150
3248182814, AeroWaveGen,Sole Proprietorship,Agriculture and Food Production,29/04/1996,Πειραιάς και νήσοι,N0920
9612788410, VortexWaveY,Sole Proprietorship,Agriculture and Food Production,29/11/1999,Πιερία,N0250
4421322163, NexaraWave,Limited Liability Company (LLC),Logistics and Transportation,10/07/2008,Λευκάδα,N0640
3207925232, OptiWaveLite,Sole Proprietorship,Agriculture and Food Production,09/02/2000,Πέλλα,N0240
3495386415, LumeWaveLite,Private Limited Company (Ltd),Consumer Goods and Retail,09/10/2015,Μαγνησία,N0530
1703445142, NovaWaveLite,Sole Proprietorship,Tourism and Hospitality,12/11/2002,Ζάκυνθος,N0610
7691286274, FluxWaveLite,Sole Proprietorship,Automotive,15/11/2003,Αργολίδα,N1010
6951511115, HexaWaveLite,General Partnership,Tourism and Hospitality,06/03/2007,Αιτωλοακαρνανία,N0710
6762492590, VividWaveLite,Sole Proprietorship,Healthcare,04/11/1990,Κεφαλλονία,N0630
8392708451, GlobaWaveLite,Limited Liability Company (LLC),Financial Services,08/03/2015,Μαγνησία,N0530
2386692390, MaxeonWaveX,Sole Proprietorship,Automotive,29/10/1994,Αρκαδία,N1020
5687768916, OmniWaveLite,General Partnership,Technology and Innovation,26/05/2004,Χίος,N1130
5602654640, SkyWaveLiteX,Sole Proprietorship,Technology and Innovation,04/11/1993,Γρεβενά,N0310
4048349013, RadiantWaveGen,Sole Proprietorship,Logistics and Transportation,19/04/2007,Ευρυτανία,N0830
7405883255, HyperWaveGen,Sole Proprietorship,Agriculture and Food Production,05/05/2011,Σέρρες,N0260
2313446823, QuantaWaveLite,Private Limited Company (Ltd),Tourism and Hospitality,23/03/2015,Λακωνία,N1040
7704577988, ZenWaveGen,General Partnership,Manufacturing,09/05/2001,Χαλκιδική,N0270
7439976753, AeroWaveTech,Sole Proprietorship,Consumer Goods and Retail,04/05/1991,Ημαθία,N0210
5833492782, VortexWaveLite,Sole Proprietorship,Agriculture and Food Production,28/08/2013,Ανατολική Αττική,N0930
6906392884, NexiWaveLite,Sole Proprietorship,Agriculture and Food Production,05/11/1997,Ηράκλειο,N1310
5315779962, LumeWaveGen,Sole Proprietorship,Agriculture and Food Production,25/10/1994,Σέρρες,N0260
2965180730, OptiWaveGen,Sole Proprietorship,Agriculture and Food Production,28/07/2002,Λακωνία,N1040
7246424175, VeloWaveGen,Private Limited Company (Ltd),Energy,01/11/1993,Λέσβος,N1110
3982244382, QuantumWaveLite,Limited Partnership (LP),Tourism and Hospitality,24/09/2001,Αχαΐα,N0720
9566545762, TriWaveGen,Sole Proprietorship,Consumer Goods and Retail,07/07/2015,Ιωάννινα,N0430
8957772298, FluxWaveGen,Sole Proprietorship,Agriculture and Food Production,01/12/1999,Μαγνησία,N0530
5125392340, PureWaveTech,Sole Proprietorship,Automotive,03/10/1995,Αιτωλοακαρνανία,N0710
6175812744, MetaWaveLite,Sole Proprietorship,Healthcare,02/05/2005,Πρέβεζα,N0440
4930542612, UltraWaveGen,Limited Liability Company (LLC),Financial Services,21/12/2009,Πρέβεζα,N0440
3885418266, VividWaveGen,Sole Proprietorship,Logistics and Transportation,10/01/2010,Κεφαλλονία,N0630
1092849430, OmniWaveGen,Sole Proprietorship,Tourism and Hospitality,21/09/1998,Ροδόπη,N0150
3796014067, SkyWaveGen,Sole Proprietorship,Tourism and Hospitality,17/08/2000,Κεφαλλονία,N0630
9625195623, RadiantWaveTech,Sole Proprietorship,Agriculture and Food Production,18/09/2015,Σάμος,N1120
5919939949, HyperWaveTech,Sole Proprietorship,Logistics and Transportation,20/03/1995,Φθιώτιδα,N0840
2827528363, QuantaWaveGen,Sole Proprietorship,Healthcare,17/12/1991,Καρδίτσα,N0510
5758425523, ZenWaveTech,Sole Proprietorship,Technology and Innovation,26/01/1997,Χίος,N1130
6057805160, AeroWaveXGen,Sole Proprietorship,Automotive,05/11/2009,Λασίθιο,N1320
9433060545, VortexWaveGen,Public Limited Company (PLC),Automotive,02/08/2000,Θεσσαλονίκη,N0220
4500848147, NexaraWaveGen,Sole Proprietorship,Energy,15/01/2001,Λευκάδα,N0640
3983612464, OptiWaveTech,Private Limited Company (Ltd),Technology and Innovation,12/02/1993,Γρεβενά,N0310
3074057747, LumeWaveTech,Private Limited Company (Ltd),Healthcare,09/06/2002,Σάμος,N1120
8005663672, NovaWaveGen,Private Limited Company (Ltd),Logistics and Transportation,14/12/1991,Ηλεία,N0730
8234297899, FluxWaveTech,Private Limited Company (Ltd),Technology and Innovation,19/03/2013,Ρέθυμνο,N1330
7691585390, HexaWaveGen,Private Limited Company (Ltd),Tourism and Hospitality,18/07/2007,Σάμος,N1120
3187579103, VividWaveTech,Sole Proprietorship,Healthcare,08/06/2004,Λακωνία,N1040
3783854659, GlobaWaveGen,Sole Proprietorship,Tourism and Hospitality,26/04/2010,Ανατολική Αττική,N0930
